Constituency_Tree,Named_Entities,POS_Tags,Semantic_Roles,Sentence,SentenceID
"[u'(TOP (S (NP (NP (NP (DT The) (NNP Empire)) (PP (IN of) (NP (NNP Trebizond)))) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBD had) (VP (VBN split) (ADVP (RB away) (PP (IN from) (NP (DT the) (NNP Byzantine) (NNP Empire)))) (PP (IN in) (NP (CD 1204))))))) (, ,)) (VP (VP (VBD became) (NP (DT the) (JJ last) (NN remnant))) (CC and) (VP (VB last) (PP (IN de) (NP (NP (NN facto) (NN successor) (NN state)) (PP (TO to) (NP (DT the) (NNP Byzantine) (NNP Empire))))))) (. .)))']","[{u'Tokens': [{u'NormalizedToken': u'ORG', u'RawToken': None, u'Len': 19, u'Offset': 4}, {u'NormalizedToken': u'ORG', u'RawToken': None, u'Len': 16, u'Offset': 56}, {u'NormalizedToken': u'ORG', u'RawToken': None, u'Len': 16, u'Offset': 147}], u'Len': 0, u'Offset': 0}]","[[u'DT', u'NNP', u'IN', u'NNP', u',', u'WDT', u'VBD', u'VBN', u'RB', u'IN', u'DT', u'NNP', u'NNP', u'IN', u'CD', u',', u'VBD', u'DT', u'JJ', u'JJ', u'CC', u'JJ', u'IN', u'JJ', u'NN', u'NN', u'TO', u'DT', u'NNP', u'NNP', u'.']]","[[u'7-7/split[A1=0-3/The_Empire_of_Trebizond, R-A1=5-5/which, AM-MNR=8-12/away_from_the_Byzantine_Empire, AM-TMP=13-14/in_1204]', u'16-16/became[A1=0-15/The_Empire_of_Trebizond_,_which_had_split_away_from_the_Byzantine_Empire_in_1204_,, A2=17-19/the_last_remnant]', u'21-21/last[A1=0-15/The_Empire_of_Trebizond_,_which_had_split_away_from_the_Byzantine_Empire_in_1204_,, A2=22-29/de_facto_successor_state_to_the_Byzantine_Empire]']]","The Empire of Trebizond , which had split away from the Byzantine Empire in 1204, became the last remnant and last de facto successor state to the Byzantine Empire.",6d9addb6-3584-445c-a03d-66807e2bdcf3
[u'(TOP (S (NP (NP (DT An) (NN adherent)) (PP (IN of) (NP (NNP Islam)))) (VP (VBZ is) (VP (VBN called) (S (NP (DT a) (NNP Muslim))))) (. .)))'],"[{u'Tokens': [{u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 5, u'Offset': 15}], u'Len': 0, u'Offset': 0}]","[[u'DT', u'NN', u'IN', u'NNP', u'VBZ', u'VBN', u'DT', u'NNP', u'.']]","[[u'5-5/called[A1=0-3/An_adherent_of_Islam, A2=6-7/a_Muslim]']]",An adherent of Islam is called a Muslim .,2137a428-bebd-4d4e-ab24-b26cc8793fb4
"[u""(TOP (S (S (NP (NNP NASA)) (VP (VBZ reports) (PP (IN at) (NP (DT the) (NN time)))) (VP (VBD questioned) (NP (NP (NNP Perkin-Elmer) (POS 's)) (JJ managerial) (NN structure)))) (, ,) (CC and) (S (NP (DT the) (NN polishing)) (VP (VBD began) (S (VP (TO to) (VP (VB slip) (UCP (PP (IN behind) (NP (NN schedule))) (CC and) (PP (IN over) (NP (NN budget))))))))) (. .)))""]","[{u'Tokens': [{u'NormalizedToken': u'ORG', u'RawToken': None, u'Len': 4, u'Offset': 0}, {u'NormalizedToken': u'PERS', u'RawToken': None, u'Len': 12, u'Offset': 36}], u'Len': 0, u'Offset': 0}]","[[u'NNP', u'VBZ', u'IN', u'DT', u'NN', u'VBD', u'NNP', u'POS', u'JJ', u'NN', u',', u'CC', u'DT', u'NN', u'VBD', u'TO', u'VB', u'IN', u'NN', u'CC', u'IN', u'NN', u'.']]","[[u'1-1/reports[A0=0-0/NASA, AM-TMP=2-4/at_the_time]', u""5-5/questioned[A0=0-0/NASA, A1=6-9/Perkin-Elmer_'s_managerial_structure]"", u'14-14/began[A1=12-13/the_polishing, C-A1=15-21/to_slip_behind_schedule_and_over_budget]', u'16-16/slip[A1=12-13/the_polishing, A2=17-21/behind_schedule_and_over_budget]']]","NASA reports at the time questioned Perkin-Elmer's managerial structure, and the polishing began to slip behind schedule and over budget.",8fd5250a-e9eb-45fa-bd43-9a724b4b1cea
[u'(TOP (S (NP (PRP He)) (VP (VBD went) (ADVP (RB on)) (S (VP (TO to) (VP (VB own) (NP (JJR thirteen) (NN textile) (NNS mills)))))) (. .)))'],"[{u'Tokens': [], u'Len': 0, u'Offset': 0}]","[[u'PRP', u'VBD', u'IN', u'TO', u'VB', u'JJ', u'NN', u'NNS', u'.']]","[[u'1-1/went[A0=0-0/He, AM-PNC=3-7/to_own_thirteen_textile_mills]', u'4-4/own[A0=0-0/He, A1=5-7/thirteen_textile_mills]']]",He went on to own thirteen textile mills.,1efabcbc-83ae-4b99-a4b8-90f6fb528a6f
[u'(TOP (S (NP (NP (DT The) (NNP Democratic) (NNP Republic)) (PP (IN of) (NP (DT the) (NNP Congo)))) (VP (VBZ is) (VP (ADVP (RB often)) (VBN referred) (TO to) (SBAR (IN as) (NNP Congo)))) (. .)))'],"[{u'Tokens': [{u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 19, u'Offset': 4}, {u'NormalizedToken': u'ORG', u'RawToken': None, u'Len': 5, u'Offset': 31}, {u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 5, u'Offset': 61}], u'Len': 0, u'Offset': 0}]","[[u'DT', u'JJ', u'NNP', u'IN', u'DT', u'NNP', u'VBZ', u'RB', u'VBN', u'TO', u'IN', u'NNP', u'.']]","[[u'6-6/is[A1=0-5/The_Democratic_Republic_of_the_Congo, A1=7-11/often_referred_to_as_Congo]', u'8-8/referred[A1=0-5/The_Democratic_Republic_of_the_Congo, AM-TMP=7-7/often, AM-TMP=10-11/as_Congo]']]",The Democratic Republic of the Congo is often referred to as Congo.,a44a407a-8d37-4505-a189-b5422cfc0aee
"[u'(TOP (S (PP (IN In) (NP (JJ other) (NNS places))) (PP (IN in) (NP (NNP Asia) (NNS groups))) (VP (VBP are) (ADVP (RB also)) (VP (VBN known) (PP (IN as) (NP (NP (NP (NNP Black) (NNPS Hmong)) (PRN (-LRB- -LRB-) (NP (NNP Hmoob) (NNP Dub/Moob) (NNP Dlub) (CC or) (NP (NNP Hmong) (NNP Den))) (-RRB- -RRB-))) (, ,) (NP (NP (NNP Striped) (NNP Hmong)) (PRN (-LRB- -LRB-) (NP (NP (NNP Hmoob) (NNP Txaij)) (CC or) (NNP Hmoob) (NNP Quas) (NNP Npab)) (-RRB- -RRB-))) (, ,) (NP (NP (NP (NNP Hmong) (NNP Shi)) (, ,) (NP (NP (NNP Hmong) (NNP Pe)) (, ,) (NP (NNP Hmong) (NNP Pua))) (, ,)) (CC and) (NP (NP (NNP Hmong) (NNP Xau)) (, ,) (NP (NP (NP (NNP Hmong) (NNP Xanh)) (PRN (-LRB- -LRB-) (NP (NNP Green) (NNP Hmong)) (-RRB- -RRB-))) (, ,) (NP (NP (NNPS Hmong) (NNP Do)) (PRN (-LRB- -LRB-) (NP (NNP Red) (NNPS Hmong)) (-RRB- -RRB-))) (, ,) (NP (NNP Na) (NNP Mieo)) (CC and) (NP (JJ various) (JJ other) (NNS subgroups))))))))) (. .)))']","[{u'Tokens': [{u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 4, u'Offset': 19}, {u'NormalizedToken': u'PERS', u'RawToken': None, u'Len': 19, u'Offset': 62}, {u'NormalizedToken': u'PERS', u'RawToken': None, u'Len': 11, u'Offset': 112}, {u'NormalizedToken': u'PERS', u'RawToken': None, u'Len': 15, u'Offset': 127}, {u'NormalizedToken': u'PERS', u'RawToken': None, u'Len': 9, u'Offset': 145}, {u'NormalizedToken': u'PERS', u'RawToken': None, u'Len': 8, u'Offset': 156}, {u'NormalizedToken': u'PERS', u'RawToken': None, u'Len': 9, u'Offset': 166}, {u'NormalizedToken': u'PERS', u'RawToken': None, u'Len': 9, u'Offset': 181}, {u'NormalizedToken': u'PERS', u'RawToken': None, u'Len': 11, u'Offset': 204}, {u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 7, u'Offset': 240}], u'Len': 0, u'Offset': 0}]","[[u'IN', u'JJ', u'NNS', u'IN', u'NNP', u'NNS', u'VBP', u'RB', u'VBN', u'IN', u'NNP', u'NNP', u'-LRB-', u'NNP', u'NNP', u'NNP', u'CC', u'NNP', u'NNP', u'-RRB-', u',', u'NNP', u'NNP', u'-LRB-', u'NNP', u'NNP', u'CC', u'NNP', u'NNP', u'NNP', u'-RRB-', u',', u'NNP', u'NNP', u',', u'NNP', u'NNP', u',', u'NNP', u'NNP', u',', u'CC', u'NNP', u'NNP', u',', u'NNP', u'NNP', u'-LRB-', u'NNP', u'NNP', u'-RRB-', u',', u'NNP', u'NNP', u'-LRB-', u'NNP', u'NNP', u'-RRB-', u',', u'NNP', u'NNP', u'CC', u'JJ', u'JJ', u'NNS', u'.']]","[[u'8-8/known[AM-LOC=0-2/In_other_places, AM-LOC=3-5/in_Asia_groups, AM-DIS=7-7/also, A2=9-64/as_Black_Hmong_-LRB-_Hmoob_Dub/Moob_Dlub_or_Hmong_Den_-RRB-_,_Striped_Hmong_-LRB-_Hmoob_Txaij_or_Hmoob_Quas_Npab_-RRB-_,_Hmong_Shi_,_Hmong_Pe_,_Hmong_Pua_,_and_Hmong_Xau_,_Hmong_Xanh_-LRB-_Green_Hmong_-RRB-_,_Hmong_Do_-LRB-_Red_Hmong_-RRB-_,_Na_Mieo_and_various_other_subgroups]']]","In other places in Asia groups are also known as Black Hmong (Hmoob Dub/Moob Dlub or Hmong Den), Striped Hmong (Hmoob Txaij or Hmoob Quas Npab), Hmong Shi, Hmong Pe, Hmong Pua, and Hmong Xau, Hmong Xanh (Green Hmong), Hmong Do (Red Hmong), Na Mieo and various other subgroups.",c2a2629c-4ac4-4d27-bccd-7b9ab17767c2
"[u'(TOP (S (PP (IN On) (NP (NP (CD 20)) (NP (NNP March)))) (, ,) (NP (NNP NISA)) (VP (VBD announced) (SBAR (IN that) (S (NP (DT both) (NNS reactors)) (VP (VBD had) (VP (VBN been) (VP (VBN returned) (PP (TO to) (NP (NP (DT a) (NN condition)) (PP (IN of) (NP (JJ cold) (NN shutdown))))))))))) (. .)))']","[{u'Tokens': [{u'NormalizedToken': u'ORG', u'RawToken': None, u'Len': 4, u'Offset': 13}], u'Len': 0, u'Offset': 0}]","[[u'IN', u'CD', u'NNP', u',', u'NNP', u'VBD', u'IN', u'DT', u'NNS', u'VBD', u'VBN', u'VBN', u'TO', u'DT', u'NN', u'IN', u'JJ', u'NN', u'.']]","[[u'5-5/announced[AM-TMP=0-2/On_20_March, A0=4-4/NISA, A1=6-17/that_both_reactors_had_been_returned_to_a_condition_of_cold_shutdown]', u'11-11/returned[A1=7-8/both_reactors, A4=12-17/to_a_condition_of_cold_shutdown]']]","On 20 March, NISA announced that both reactors had been returned to a condition of cold shutdown.",dc1193f2-f86b-414b-8269-a5183c0b6387
"[u'(TOP (S (NP (DT The) (CD four) (NNS civilizations)) (VP (VBD were) (NP (NP (JJ ancient) (NNP China)) (, ,) (NP (NNP Babylon)) (, ,) (NP (JJ ancient) (NNP India)) (CC and) (NP (JJ ancient) (NNP Egypt)))) (. .)))']","[{u'Tokens': [{u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 5, u'Offset': 36}, {u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 7, u'Offset': 44}, {u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 5, u'Offset': 62}, {u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 5, u'Offset': 80}], u'Len': 0, u'Offset': 0}]","[[u'DT', u'CD', u'NNS', u'VBD', u'JJ', u'NNP', u',', u'NNP', u',', u'JJ', u'NNP', u'CC', u'JJ', u'NNP', u'.']]","[[u'3-3/were[A0=0-2/The_four_civilizations, A1=4-13/ancient_China_,_Babylon_,_ancient_India_and_ancient_Egypt]']]","The four civilizations were ancient China , Babylon , ancient India and ancient Egypt .",488d7993-3ad8-4719-ac32-7f0734ca8dc3
"[u'(TOP (S (NP (JJ Individual) (NNS features)) (VP (VBP include) (NP (NP (NN sawtooth) (NNS roofs)) (, ,) (NP (JJ clerestory) (NNS windows)) (, ,) (NP (NN light) (NNS shelves)) (, ,) (NP (NNS skylights)) (CC and) (NP (JJ light) (NNS tubes)))) (. .)))']","[{u'Tokens': [], u'Len': 0, u'Offset': 0}]","[[u'JJ', u'NNS', u'VBP', u'JJ', u'NNS', u',', u'JJ', u'NNS', u',', u'JJ', u'NNS', u',', u'NNS', u'CC', u'JJ', u'NNS', u'.']]","[[u'2-2/include[A2=0-1/Individual_features, A1=3-15/sawtooth_roofs_,_clerestory_windows_,_light_shelves_,_skylights_and_light_tubes]']]","Individual features include sawtooth roofs, clerestory windows , light shelves, skylights and light tubes .",c3814495-8c9d-434f-a804-e7a2160e7104
[u'(TOP (S (PP (IN Around) (NP (CD 1100) (NNS BC))) (NP (DT the) (NNP Mycenaean) (NN civilization)) (VP (VBD collapsed)) (. .)))'],"[{u'Tokens': [], u'Len': 0, u'Offset': 0}]","[[u'IN', u'CD', u'NNP', u'DT', u'NNP', u'NN', u'VBD', u'.']]","[[u'6-6/collapsed[AM-ADV=0-2/Around_1100_BC, A1=3-5/the_Mycenaean_civilization]']]",Around 1100 BC the Mycenaean civilization collapsed.,0d87a2fb-d44d-43a5-aa01-fa24a550df15
